uid	lat	lng	datetime
120035	40.74111	-73.98888000000002	2012-04-10 00:07:41
272009	40.752806	-73.977175	2012-04-10 00:13:06
102433	40.747759	-73.98889399999999	2012-04-10 00:20:12
1598737	40.729024	-73.988636	2012-04-10 00:21:35
813445	40.719673	-73.977126	2012-04-10 00:22:32
116449	40.675898	-73.923734	2012-04-10 00:24:05
197898	40.826508	-73.950391	2012-04-10 00:38:01
197898	40.827231	-73.94560600000001	2012-04-10 00:43:09
197898	40.827392	-73.945858	2012-04-10 00:45:59
282980	40.714858	-73.996412	2012-04-10 00:49:38
1448478	40.739441	-73.977126	2012-04-10 00:56:52
1448478	40.74379	-73.983892	2012-04-10 00:57:08
1448478	40.743644	-73.98388800000002	2012-04-10 00:57:27
1448478	40.717599	-74.00322	2012-04-10 00:58:31
100441	40.716072	-74.008905	2012-04-10 01:03:46
726990	40.750991	-73.98888000000002	2012-04-10 01:04:01
100441	40.762377	-73.974621	2012-04-10 01:04:17
199830	40.676851	-73.955708	2012-04-10 01:14:36
1163231	40.737831	-73.981022	2012-04-10 01:23:48
197898	40.827333	-73.945635	2012-04-10 01:29:12
66452	40.711562	-73.946871	2012-04-10 01:34:31
367302	40.730592	-73.981633	2012-04-10 01:52:56
367302	40.731779	-73.98240600000003	2012-04-10 01:53:09
197898	40.827636	-73.946845	2012-04-10 01:57:17
1333004	40.650169	-73.949575	2012-04-10 02:19:42
1333004	40.71431	-73.949394	2012-04-10 02:20:23
207280	40.722291	-73.997118	2012-04-10 02:33:37
834529	40.759933	-73.90088399999998	2012-04-10 02:50:40
1333004	40.704168	-73.948189	2012-04-10 03:00:24
1448478	40.744354	-73.982495	2012-04-10 03:47:06
1448478	40.744287	-73.982925	2012-04-10 03:47:17
1448478	40.739441	-73.977126	2012-04-10 03:47:28
158729	40.705953	-73.99656800000002	2012-04-10 04:43:17
80650	40.803562	-73.94185999999998	2012-04-10 05:00:19
1467964	40.625185	-74.156192	2012-04-10 05:02:54
98837	40.748938	-73.995666	2012-04-10 05:04:18
39485	40.894164	-73.86074599999998	2012-04-10 05:04:39
116289	40.661838	-73.87316700000002	2012-04-10 05:10:29
16637	40.645089	-73.784523	2012-04-10 05:15:47
39485	40.894819	-73.86098199999998	2012-04-10 05:25:23
367302	40.650169	-73.949575	2012-04-10 05:38:55
367302	40.688522	-73.9043	2012-04-10 05:39:07
367302	40.678376	-73.903399	2012-04-10 05:39:23
117816	40.719711	-74.00456700000002	2012-04-10 05:44:29
367302	40.646099	-73.90266899999997	2012-04-10 05:52:13
367302	40.645806	-73.902175	2012-04-10 05:52:27
367302	40.640606	-73.905764	2012-04-10 05:55:59
140928	40.688231	-73.991293	2012-04-10 05:57:07
871111	40.742188	-73.98792399999998	2012-04-10 06:00:02
367302	40.63355900000001	-73.92036999999998	2012-04-10 06:18:49
367302	40.632175	-73.918346	2012-04-10 06:19:04
367302	40.632175	-73.918346	2012-04-10 06:19:26
552433	40.800356	-73.946872	2012-04-10 06:20:02
363383	40.762377	-73.974621	2012-04-10 06:21:47
345882	40.751064	-73.992286	2012-04-10 06:21:50
139406	40.75753	-73.96706	2012-04-10 06:22:40
31123	40.784181	-73.959017	2012-04-10 06:24:38
96606	40.758538	-73.985603	2012-04-10 06:26:09
98837	40.735829	-73.87626800000002	2012-04-10 06:29:06
21406	40.768062	-73.749418	2012-04-10 06:31:05
774861	40.773839	-73.87122	2012-04-10 06:35:09
1127416	40.817577	-73.820561	2012-04-10 06:36:13
54007	40.756126	-73.964462	2012-04-10 06:42:03
54007	40.756216	-73.96428399999998	2012-04-10 06:47:36
388402	40.692597	-73.991431	2012-04-10 06:50:20
179110	40.775419	-73.96285999999998	2012-04-10 06:50:55
338139	40.719893	-74.000054	2012-04-10 06:54:04
288077	40.741096	-73.992705	2012-04-10 06:56:36
231963	40.760883	-73.98500899999998	2012-04-10 06:57:46
297231	40.692597	-73.991431	2012-04-10 06:58:53
1641282	40.73289000000001	-73.99	2012-04-10 07:01:46
114066	40.706439	-74.009936	2012-04-10 07:03:19
630749	40.781906	-73.951077	2012-04-10 07:04:58
502694	40.734413	-74.01	2012-04-10 07:07:09
52393	40.74224	-74.004894	2012-04-10 07:09:11
1755277	40.872507	-73.85443199999997	2012-04-10 07:18:13
79424	40.692837	-73.984131	2012-04-10 07:19:40
36843	40.714843	-74.00783299999998	2012-04-10 07:27:03
348136	40.692573	-73.861125	2012-04-10 07:28:23
119848	40.663908	-73.970947	2012-04-10 07:33:51
96606	40.755036	-73.986512	2012-04-10 07:34:27
441764	40.752827	-73.9896	2012-04-10 07:34:49
234230	40.708135	-73.830764	2012-04-10 07:36:21
95285	40.73757	-74.0017	2012-04-10 07:38:56
186344	40.770077	-73.91799	2012-04-10 07:39:46
186344	40.771312	-73.91743199999998	2012-04-10 07:40:10
229556	40.758357	-73.970546	2012-04-10 07:40:39
116289	40.614138	-73.94856800000002	2012-04-10 07:41:49
138409	40.873075	-73.88679	2012-04-10 07:42:24
1448478	40.74379	-73.983892	2012-04-10 07:42:51
1448478	40.74393900000001	-73.983999	2012-04-10 07:43:11
1448478	40.739441	-73.977126	2012-04-10 07:43:24
1448478	40.74453	-73.982742	2012-04-10 07:43:34
1488825	40.750795	-73.993576	2012-04-10 07:44:58
43656	40.727955	-73.993261	2012-04-10 07:49:36
100441	40.714214	-74.009752	2012-04-10 07:49:57
506804	40.861079	-73.930104	2012-04-10 07:50:11
229556	40.75858	-73.972824	2012-04-10 07:50:12
39588	40.752918	-73.972256	2012-04-10 08:56:12
65858	40.742266	-73.984466	2012-04-10 08:56:42
173353	40.742863	-73.992389	2012-04-10 08:57:09
16182	40.758702	-73.97852900000002	2012-04-10 08:57:47
237332	40.861332	-73.89028499999998	2012-04-10 08:59:17
195839	40.723223	-74.006041	2012-04-10 09:38:40
3687	40.726714	-73.864699	2012-04-10 09:41:01
863870	40.739918	-73.985382	2012-04-10 09:41:35
182697	40.752613	-73.986317	2012-04-10 09:42:27
182697	40.75267	-73.986593	2012-04-10 09:42:48
1189492	40.745518	-73.992351	2012-04-10 09:43:38
